"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2016 07:00 - 04.01.2016 07:15","47140","58303"
"04.01.2016 07:15 - 04.01.2016 07:30","48284","59702"
"04.01.2016 07:30 - 04.01.2016 07:45","50382","61078"
"04.01.2016 07:45 - 04.01.2016 08:00","51033","62381"
"04.01.2016 08:00 - 04.01.2016 08:15","51757","63392"
"04.01.2016 08:15 - 04.01.2016 08:30","51669","64113"
"04.01.2016 08:30 - 04.01.2016 08:45","52220","64370"
"04.01.2016 08:45 - 04.01.2016 09:00","52336","64690"
"04.01.2016 09:00 - 04.01.2016 09:15","52798","65031"
"04.01.2016 09:15 - 04.01.2016 09:30","53064","65478"
"04.01.2016 09:30 - 04.01.2016 09:45","53373","65779"
"04.01.2016 09:45 - 04.01.2016 10:00","53813","65980"
"04.01.2016 10:00 - 04.01.2016 10:15","53787","66381"
"04.01.2016 10:15 - 04.01.2016 10:30","54188","66607"
"04.01.2016 10:30 - 04.01.2016 10:45","54595","66817"
"04.01.2016 10:45 - 04.01.2016 11:00","54724","67212"
"04.01.2016 11:00 - 04.01.2016 11:15","55121","67442"
"04.01.2016 11:15 - 04.01.2016 11:30","55066","68010"
"04.01.2016 11:30 - 04.01.2016 11:45","55604","68476"
"04.01.2016 11:45 - 04.01.2016 12:00","55866","68533"
"04.01.2016 12:00 - 04.01.2016 12:15","55616","68385"
"04.01.2016 12:15 - 04.01.2016 12:30","55360","68242"
"04.01.2016 12:30 - 04.01.2016 12:45","55704","68277"
"04.01.2016 12:45 - 04.01.2016 13:00","55645","68244"
"04.01.2016 13:00 - 04.01.2016 13:15","55495","68131"
"04.01.2016 13:15 - 04.01.2016 13:30","55513","67890"
"04.01.2016 13:30 - 04.01.2016 13:45","55411","67384"
"04.01.2016 13:45 - 04.01.2016 14:00","55263","66807"
"04.01.2016 14:00 - 04.01.2016 14:15","54957","66666"
"04.01.2016 14:15 - 04.01.2016 14:30","54625","66334"
